Athlete,W-L,L,ERA,G,GS,IP,H,SO,BB,ER,HR,B/AVG,HP,CG,SHO,SV,B,S,WP
"Alexander-Bennett, O",0,1,4.2,3,1,3.1,5,2,4,2,0,0.417,1,0,0,0,31,37,0
"Binford, A",1,1,5.73,3,0,3.2,5,4,2,3,0,0.333,1,0,0,0,29,44,0
"Corrick, G",4,1,2.33,7,4,33,28,39,12,11,3,0.23,2,2,0,0,212,406,2
"Faraimo, M",1,3,3.68,5,3,19,25,14,11,10,1,0.309,1,1,0,0,146,251,1
"Fouts, M",0,1,2.72,8,3,18,19,12,3,7,3,0.268,1,0,0,3,94,194,1
"Garcia, R",4,2,1.88,8,4,37.1,21,35,9,10,2,0.16,4,3,1,0,215,372,1
"Gottshall, P",0,2,7.64,5,1,7.1,11,1,3,8,2,0.367,0,0,0,0,38,83,0
"Kennedy, E",0,0,7,2,0,1,1,0,4,1,0,0.25,0,0,0,0,20,15,0
"Kilfoyl, L",2,1,2.03,5,2,20.2,21,15,8,6,1,0.273,1,1,0,1,137,224,0
"Landry, S",0,0,4,4,2,7,8,7,4,4,0,0.267,2,0,0,0,65,94,1
"Lemley, E",0,3,5.56,5,3,11.1,12,7,5,9,1,0.279,1,0,0,0,82,122,2
"Mazón, M",0,0,2.86,2,1,7.1,13,7,2,3,1,0.371,2,0,0,0,50,80,0
"McQuillin, T",1,1,5.63,5,3,13.2,18,7,11,11,3,0.316,2,0,0,2,120,186,0
"Netz, D",0,0,21,1,0,0.2,3,0,1,2,1,0.6,0,0,0,0,11,16,0
"Ocasio, A",2,0,1.48,5,3,23.2,23,11,7,5,2,0.261,4,1,1,0,140,219,0
"Ricketts, K",2,0,1.56,7,4,27,25,9,2,6,2,0.243,6,0,0,0,110,297,3
"Vawter, A",0,2,5.78,5,2,13.1,16,6,2,11,1,0.314,0,0,0,2,77,149,1
"Willis, S",2,1,4.2,6,2,15,18,8,1,9,2,0.286,0,0,0,0,97,170,0
