Athlete,Total Stat Points,1B,2B,3B,HR,BB,HBP,SF,SH,SB,Caught Stealing,,,Leftover?,Pitcher too?,Pitching Pts
"Allchin, J",86,70,0,0,0,0,16,10,0,0,0,,,-10,NO,
"Andrews, A",100,50,20,0,0,10,0,0,0,20,0,,,0,NO,
"Bates, S",38,10,0,0,0,0,8,0,20,0,0,,,0,NO,
"Binford, A",62,0,20,0,0,20,8,0,0,0,0,,,14,Yes,14
"Briggs, C",100,70,0,0,0,20,0,0,10,0,0,,,0,NO,
"Clark, M",28,10,20,0,0,0,8,0,0,0,-10,,,0,NO,
"Coffel, E",232,30,20,30,80,40,32,0,10,0,0,,,-10,NO,
"Coffey, D",200,100,0,0,40,60,0,0,0,10,0,,,-10,NO,
"Dayton, B",140,60,0,0,40,20,0,0,10,0,0,,,10,NO,
"Edenfield, M",20,0,20,0,0,0,0,0,0,0,0,,,0,NO,
"Edwards, T",110,30,60,0,0,10,0,0,10,0,0,,,0,NO,
"Ellis, B",16,0,0,0,0,0,16,0,0,0,0,,,0,NO,
"Falby, K",60,40,0,0,0,10,0,0,0,10,0,,,0,NO,
"Flippen, H",80,40,0,0,0,20,0,0,20,0,0,,,0,NO,
"Garcia, R",488,30,60,0,40,10,0,0,0,10,0,,,338,Yes,348
"Gibson Whorton, D",190,60,40,0,40,50,0,0,0,0,0,,,0,NO,
"Gold, A",156,30,20,0,0,50,56,0,0,0,0,,,0,NO,
"Harding, K",30,10,0,0,0,20,0,0,0,0,0,,,0,NO,
"Hayward, V",108,50,40,0,0,0,8,0,0,10,0,,,0,NO,
"Iakopo, M",40,20,20,0,0,0,0,0,10,0,-10,,,0,NO,
"Jacobsen, C",30,10,20,0,0,0,0,0,0,0,0,,,0,NO,
"Jaquish, S",10,10,0,0,0,0,0,0,0,0,0,,,0,NO,
"Jennings, T",120,30,40,0,40,10,0,0,0,0,0,,,0,NO,
"Klingler, B",140,90,40,0,0,0,0,0,10,0,0,,,0,NO,
"Kowalik, K",300,120,40,30,80,10,0,10,10,0,0,,,0,NO,
"Leach, A",160,40,40,0,40,30,0,0,10,0,0,,,0,NO,
"Lorenz, A",180,60,20,0,40,60,0,0,0,0,0,,,0,NO,
"McKinney, S",120,50,40,0,0,10,0,0,20,0,0,,,0,NO,
"McMillan, C",40,30,0,0,0,10,0,0,0,0,0,,,0,NO,
"Mulipola, D",110,60,0,0,40,10,0,0,0,0,0,,,0,NO,
"Netz, D",148,30,80,0,0,50,0,0,0,0,0,,,-12,Yes,-12
"Newland, A",20,10,0,0,0,10,0,0,0,0,0,,,0,NO,
"Nickles-Camarena, B",100,50,20,0,0,20,0,0,0,10,0,,,0,NO,
"Ocasio, A",324,60,20,0,0,10,0,0,0,0,0,,,234,Yes,234
"Otis, K",208,40,20,30,40,70,8,0,0,0,0,,,0,NO,
"Palacios, Sh",120,40,0,0,40,30,0,10,0,0,0,,,0,NO,
"Roberts, J",10,10,0,0,0,0,0,0,0,0,0,,,0,NO,
"Romero, Si",210,40,60,0,80,20,0,0,20,0,0,,,-10,NO,
"Romero, Sy",198,70,20,30,40,20,8,0,0,10,0,,,0,NO,
"Sacco, S",140,80,0,0,0,50,0,0,10,0,0,,,0,NO,
"Sinicki, P",154,20,60,0,0,40,24,0,0,10,0,,,0,NO,
"Urtez, A",156,30,20,0,40,30,16,10,10,0,0,,,0,NO,
"Vidales, T",160,50,20,0,80,10,0,0,0,0,0,,,0,NO,
"Warren, J",250,80,40,0,120,20,0,0,0,0,0,,,-10,NO,
"Willis, S",90,0,0,0,0,0,0,0,0,0,0,,,90,Yes,90
"Wisz, D",200,40,40,0,80,30,0,0,0,10,0,,,0,NO,
"Zerkle, M",136,80,0,0,0,20,16,0,20,0,0,,,0,NO,
