Athlete,Total Pts,Outs,ER,,SUM,Batter Too?,,Pitching Pts
"Alexander-Bennett, O",20,40,-20,,0,,,20
"Binford, A",62,44,-30,,48,YES,,14
"Corrick, G",286,396,-110,,0,,,286
"Faraimo, M",104,228,-100,,-24,,,128
"Fouts, M",146,216,-70,,0,,,146
"Garcia, R",488,448,-100,,140,YES,,348
"Gottshall, P",8,88,-80,,0,,,8
"Kennedy, E",2,12,-10,,0,,,2
"Kilfoyl, L",164,248,-60,,-24,,,188
"Landry, S",44,84,-40,,0,,,44
"Lemley, E",46,136,-90,,0,,,46
"Mazón, M",58,88,-30,,0,,,58
"McQuillin, T",54,164,-110,,0,,,54
"Netz, D",148,8,-20,,160,YES,,-12
"Ocasio, A",324,284,-50,,90,YES,,234
"Ricketts, K",264,324,-60,,0,,,264
"Vawter, A",50,160,-110,,0,,,50
"Willis, S",90,180,-90,,0,YES,,90
,,,,,,,,0
