Athlete,Total Win,Inning,Game,Innings Won,Games Won
"Alexander-Bennett, O",420,210,210,21,3
"Allchin, J",500,220,280,22,4
"Andrews, A",560,280,280,28,4
"Bates, S",780,360,420,36,6
"Binford, A",580,230,350,23,5
"Briggs, C",500,290,210,29,3
"Clark, M",760,340,420,34,6
"Coffel, E",860,370,490,37,7
"Coffey, D",900,410,490,41,7
"Corrick, G",610,260,350,26,5
"Dayton, B",700,350,350,35,5
"Edenfield, M",780,360,420,36,6
"Edwards, T",550,270,280,27,4
"Ellis, B",590,310,280,31,4
"Falby, K",600,250,350,25,5
"Faraimo, M",410,270,140,27,2
"Flippen, H",530,250,280,25,4
"Fouts, M",490,210,280,21,4
"Garcia, R",680,330,350,33,5
"Gibson Whorton, D",700,350,350,35,5
"Gold, A",730,310,420,31,6
"Gottshall, P",360,220,140,22,2
"Harding, K",670,320,350,32,5
"Hayward, V",790,300,490,30,7
"Iakopo, M",600,320,280,32,4
"Jacobsen, C",490,210,280,21,4
"Jaquish, S",690,340,350,34,5
"Jennings, T",410,270,140,27,2
"Kennedy, E",730,310,420,31,6
"Kilfoyl, L",690,340,350,34,5
"Klingler, B",520,240,280,24,4
"Kowalik, K",990,430,560,43,8
"Landry, S",600,250,350,25,5
"Leach, A",660,310,350,31,5
"Lemley, E",540,260,280,26,4
"Lorenz, A",740,320,420,32,6
"Mazón, M",850,430,420,43,6
"McKinney, S",690,340,350,34,5
"McMillan, C",690,340,350,34,5
"McQuillin, T",680,330,350,33,5
"Mulipola, D",450,240,210,24,3
"Netz, D",850,430,420,43,6
"Newland, A",680,330,350,33,5
"Nickles-Camarena, B",610,260,350,26,5
"Ocasio, A",590,310,280,31,4
"Otis, K",810,390,420,39,6
"Palacios, Sh",420,140,280,14,4
"Ricketts, K",820,330,490,33,7
"Roberts, J",540,260,280,26,4
"Romero, Si",580,300,280,30,4
"Romero, Sy",420,140,280,14,4
"Sacco, S",580,230,350,23,5
"Sinicki, P",350,140,210,14,3
"Urtez, A",510,300,210,30,3
"Vawter, A",820,330,490,33,7
"Vidales, T",560,280,280,28,4
"Warren, J",650,300,350,30,5
"Willis, S",750,330,420,33,6
"Wisz, D",790,300,490,30,7
"Zerkle, M",410,270,140,27,2
